set_num,last_6_months_new_total_lots,last_6_months_new_total_qty,last_6_months_new_min_price,last_6_months_new_avg_price,last_6_months_new_qty_avg_price,last_6_months_new_max_price,last_6_months_used_total_lots,last_6_months_used_total_qty,last_6_months_used_min_price,last_6_months_used_avg_price,last_6_months_used_qty_avg_price,last_6_months_used_max_price,current_new_total_lots,current_new_total_qty,current_new_min_price,current_new_avg_price,current_new_qty_avg_price,current_new_max_price,current_used_total_lots,current_used_total_qty,current_used_min_price,current_used_avg_price,current_used_qty_avg_price,current_used_max_price
224-1,,,,,,,,,,,,,,,,,,,,,,,,
6374-1,,,,,,,9,9,9,US $83.78,US $83.78,US $135.13,,,,,,,19,19,19,US $100.82,US $100.82,US $200.62
6384-1,1,1,1,US $538.42,US $538.42,US $538.42,11,11,11,US $75.02,US $75.02,US $273.96,3,3,3,US $644.53,US $644.53,US $758.00,40,40,40,US $61.84,US $61.84,US $209.09
6606-1,,,,,,,11,11,11,US $5.16,US $5.16,US $16.35,5,13,5,US $147.96,US $118.44,US $388.00,37,39,37,US $8.90,US $8.63,US $66.00
6623-1,1,1,1,US $114.99,US $114.99,US $114.99,19,19,19,US $4.84,US $4.84,US $8.25,,,,,,,28,32,28,US $8.04,US $7.98,US $59.99
6624-1,1,1,1,US $299.00,US $299.00,US $299.00,26,26,26,US $7.82,US $7.82,US $21.86,1,1,1,US $112.03,US $112.03,US $112.03,30,30,30,US $16.03,US $16.03,US $129.99
6652-1,,,,,,,20,20,20,US $5.26,US $5.26,US $11.05,4,4,4,US $160.50,US $160.50,US $199.96,46,50,46,US $9.09,US $8.91,US $36.99
6654-1,,,,,,,18,18,18,US $9.21,US $9.21,US $15.00,5,5,5,US $129.27,US $129.27,US $140.00,63,65,63,US $14.84,US $14.80,US $92.99
6683-1,,,,,,,24,24,24,US $21.04,US $21.04,US $62.11,,,,,,,29,31,29,US $23.50,US $23.45,US $45.00
6692-1,1,1,1,"US $1,200.00","US $1,200.00","US $1,200.00",10,10,10,US $46.65,US $46.65,US $147.00,3,3,3,US $621.63,US $621.63,US $703.78,24,24,24,US $57.12,US $57.12,US $348.48
6701-1,1,1,1,US $162.51,US $162.51,US $162.51,5,5,5,US $89.96,US $89.96,US $222.31,3,3,3,US $363.63,US $363.63,US $398.00,5,5,5,US $43.88,US $43.88,US $58.85
6711-1,,,,,,,1,1,1,US $27.34,US $27.34,US $27.34,,,,,,,,,,,,
6803-1,1,1,1,US $121.50,US $121.50,US $121.50,18,18,18,US $9.81,US $9.81,US $22.73,9,9,9,US $304.12,US $304.12,US $800.00,52,53,52,US $25.84,US $26.75,US $145.36
6823-1,1,1,1,US $131.73,US $131.73,US $131.73,21,21,21,US $12.87,US $12.87,US $27.13,13,16,13,US $232.17,US $214.27,US $800.00,63,66,63,US $18.47,US $18.43,US $50.00
6844-1,1,1,1,US $9.70,US $9.70,US $9.70,27,28,27,US $14.62,US $14.53,US $40.00,2,2,2,US $191.65,US $191.65,US $253.16,48,55,48,US $17.86,US $17.33,US $49.88
6930-1,1,1,1,"US $1,800.00","US $1,800.00","US $1,800.00",23,23,23,US $71.38,US $71.38,US $125.00,4,4,4,"US $1,881.18","US $1,881.18","US $2,157.98",33,33,33,US $103.25,US $103.25,US $623.59
6980-1,,,,,,,19,19,19,US $151.68,US $151.68,US $300.00,1,1,1,"US $2,800.00","US $2,800.00","US $2,800.00",27,27,27,US $235.40,US $235.40,"US $1,283.86"
7727-1,,,,,,,7,7,7,US $429.48,US $429.48,US $919.95,,,,,,,7,7,7,US $446.83,US $446.83,US $788.37
7755-1,1,1,1,US $479.99,US $479.99,US $479.99,7,7,7,US $246.74,US $246.74,US $714.36,,,,,,,11,11,11,US $222.87,US $222.87,US $623.54
7815-1,,,,,,,8,8,8,US $139.26,US $139.26,US $266.85,1,1,1,US $879.97,US $879.97,US $879.97,10,10,10,US $158.18,US $158.18,US $224.99
7819-1,1,1,1,US $394.16,US $394.16,US $394.16,6,6,6,US $138.42,US $138.42,US $192.95,2,2,2,US $558.60,US $558.60,US $575.00,7,7,7,US $126.87,US $126.87,US $203.50
7821-1,,,,,,,6,6,6,US $35.17,US $35.17,US $48.66,1,1,1,US $300.00,US $300.00,US $300.00,18,18,18,US $48.47,US $48.47,US $178.35
7824-1,1,1,1,US $315.00,US $315.00,US $315.00,5,5,5,US $139.61,US $139.61,US $220.00,2,2,2,US $297.50,US $297.50,US $299.99,18,18,18,US $122.99,US $122.99,US $180.00
7838-1,,,,,,,5,5,5,US $97.96,US $97.96,US $124.59,,,,,,,6,6,6,US $125.35,US $125.35,US $175.00
7866-1,,,,,,,17,17,17,US $163.21,US $163.21,US $323.78,3,3,3,US $796.56,US $796.56,US $867.53,13,14,13,US $165.14,US $168.83,US $216.88
7867-1,,,,,,,15,19,15,US $48.51,US $46.64,US $70.17,6,8,6,US $265.51,US $278.99,US $433.76,7,8,7,US $50.17,US $50.67,US $69.00
8841-1,,,,,,,9,9,9,US $15.54,US $15.54,US $29.62,4,4,4,US $131.06,US $131.06,US $149.99,39,40,39,US $21.49,US $21.42,US $84.37
8847-1,1,1,1,US $275.00,US $275.00,US $275.00,,,,,,,1,1,1,US $349.99,US $349.99,US $349.99,13,13,13,US $93.96,US $93.96,US $130.00
010-3,,,,,,,,,,,,,,,,,,,,,,,,
011-1,,,,,,,,,,,,,1,1,1,US $195.19,US $195.19,US $195.19,2,2,2,US $40.68,US $40.68,US $43.38
022-1,,,,,,,,,,,,,1,1,1,US $86.75,US $86.75,US $86.75,4,4,4,US $50.81,US $50.81,US $75.90
033-2,,,,,,,,,,,,,1,1,1,US $162.66,US $162.66,US $162.66,4,4,4,US $46.53,US $46.53,US $65.00
044-1,,,,,,,,,,,,,,,,,,,4,4,4,US $63.89,US $63.89,US $70.49
055-2,,,,,,,,,,,,,,,,,,,2,2,2,US $43.38,US $43.38,US $48.80
060-3,,,,,,,,,,,,,,,,,,,2,2,2,US $90.00,US $90.00,US $120.00
156-1,2,2,2,US $46.89,US $46.89,US $53.77,,,,,,,5,6,5,US $43.99,US $40.26,US $65.06,2,2,2,US $16.90,US $16.90,US $19.81
160-1,1,1,1,US $25.00,US $25.00,US $25.00,,,,,,,4,4,4,US $17.94,US $17.94,US $21.69,4,4,4,US $12.90,US $12.90,US $16.65
223-1,,,,,,,,,,,,,,,,,,,1,1,1,US $65.00,US $65.00,US $65.00
235-2,,,,,,,1,1,1,US $36.52,US $36.52,US $36.52,,,,,,,7,7,7,US $15.93,US $15.93,US $32.53
236-3,,,,,,,,,,,,,,,,,,,4,4,4,US $27.88,US $27.88,US $40.00
326-2,,,,,,,,,,,,,,,,,,,,,,,,
330-3,,,,,,,3,3,3,US $29.18,US $29.18,US $43.78,,,,,,,2,2,2,US $20.60,US $20.60,US $21.69
336-1,,,,,,,1,1,1,US $65.05,US $65.05,US $65.05,,,,,,,13,14,13,US $44.86,US $43.21,US $86.75
340-3,,,,,,,,,,,,,,,,,,,5,6,5,US $34.58,US $34.48,US $39.96
341-1,,,,,,,2,2,2,US $171.17,US $171.17,US $277.71,,,,,,,2,2,2,US $211.56,US $211.56,US $215.09
342-1,,,,,,,1,1,1,US $61.92,US $61.92,US $61.92,,,,,,,10,10,10,US $105.25,US $105.25,US $216.88
342-2,,,,,,,,,,,,,,,,,,,,,,,,
343-1,,,,,,,3,3,3,US $153.86,US $153.86,US $213.18,,,,,,,10,10,10,US $166.23,US $166.23,US $238.57
343-2,,,,,,,,,,,,,,,,,,,2,2,2,US $195.19,US $195.19,US $195.19
502-1,,,,,,,,,,,,,,,,,,,1,1,1,US $99.00,US $99.00,US $99.00
502-2,,,,,,,,,,,,,,,,,,,,,,,,
503-2,,,,,,,,,,,,,,,,,,,,,,,,
7-1,,,,,,,,,,,,,,,,,,,2,2,2,US $12.35,US $12.35,US $13.40
8-1,,,,,,,,,,,,,,,,,,,,,,,,
9-1,,,,,,,,,,,,,1,1,1,US $71.70,US $71.70,US $71.70,7,8,7,US $22.26,US $21.85,US $44.29
061-2,,,,,,,,,,,,,,,,,,,,,,,,
063-2,,,,,,,,,,,,,,,,,,,,,,,,
086-1,,,,,,,1,1,1,US $3.99,US $3.99,US $3.99,,,,,,,1,1,1,US $4.48,US $4.48,US $4.48
164-1,,,,,,,2,2,2,US $73.91,US $73.91,US $104.25,1,1,1,US $270.02,US $270.02,US $270.02,5,5,5,US $66.03,US $66.03,US $108.43
165-1,,,,,,,3,3,3,US $174.13,US $174.13,US $179.99,1,1,1,US $758.00,US $758.00,US $758.00,4,4,4,US $122.47,US $122.47,US $195.18
166-1,,,,,,,5,5,5,US $39.48,US $39.48,US $80.33,1,1,1,US $378.46,US $378.46,US $378.46,3,3,3,US $29.50,US $29.50,US $37.99
167-1,,,,,,,3,3,3,US $75.75,US $75.75,US $135.66,,,,,,,6,6,6,US $92.06,US $92.06,US $217.78
205-2,,,,,,,1,1,1,US $68.28,US $68.28,US $68.28,1,1,1,US $112.03,US $112.03,US $112.03,2,2,2,US $71.41,US $71.41,US $74.82
208-1,,,,,,,1,1,1,US $9.22,US $9.22,US $9.22,2,2,2,US $190.06,US $190.06,US $250.00,11,11,11,US $12.16,US $12.16,US $16.51
230-1,1,1,1,US $101.93,US $101.93,US $101.93,,,,,,,1,1,1,US $139.90,US $139.90,US $139.90,5,5,5,US $57.54,US $57.54,US $65.06
231-1,,,,,,,1,1,1,US $76.62,US $76.62,US $76.62,,,,,,,5,5,5,US $77.25,US $77.25,US $129.90
232-1,,,,,,,1,1,1,US $112.41,US $112.41,US $112.41,,,,,,,4,4,4,US $109.95,US $109.95,US $159.90
278-1,,,,,,,1,1,1,US $16.27,US $16.27,US $16.27,1,1,1,US $69.90,US $69.90,US $69.90,4,4,4,US $19.41,US $19.41,US $24.51
297-1,,,,,,,2,2,2,US $16.23,US $16.23,US $21.69,1,1,1,US $89.62,US $89.62,US $89.62,3,3,3,US $17.60,US $17.60,US $24.40
300-1,,,,,,,,,,,,,2,3,2,US $47.09,US $44.72,US $54.21,6,8,6,US $30.21,US $30.52,US $42.94
301-1,,,,,,,,,,,,,2,2,2,US $84.50,US $84.50,US $93.06,10,17,10,US $25.75,US $25.32,US $42.94
302-1,,,,,,,,,,,,,,,,,,,3,3,3,US $15.15,US $15.15,US $27.57
316-1,,,,,,,2,2,2,US $34.93,US $34.93,US $43.24,,,,,,,5,5,5,US $20.32,US $20.32,US $32.48
330-2,,,,,,,,,,,,,,,,,,,,,,,,
340-2,,,,,,,,,,,,,,,,,,,,,,,,
374-1,,,,,,,6,6,6,US $97.86,US $97.86,US $138.75,,,,,,,7,7,7,US $101.42,US $101.42,US $215.80
375-2,1,1,1,"US $1,076.50","US $1,076.50","US $1,076.50",25,25,25,US $307.30,US $307.30,US $570.99,,,,,,,38,38,38,US $351.88,US $351.88,US $975.80
376-2,,,,,,,2,2,2,US $46.68,US $46.68,US $50.00,,,,,,,14,14,14,US $64.56,US $64.56,US $108.44
377-1,1,1,1,US $70.72,US $70.72,US $70.72,4,4,4,US $59.18,US $59.18,US $97.52,2,2,2,US $795.10,US $795.10,"US $1,264.88",12,12,12,US $67.74,US $67.74,US $231.09
398-1,,,,,,,2,2,2,US $237.26,US $237.26,US $240.51,,,,,,,6,6,6,US $363.12,US $363.12,US $806.59
462-1,,,,,,,9,9,9,US $42.23,US $42.23,US $65.00,,,,,,,9,9,9,US $45.08,US $45.08,US $60.00
483-1,,,,,,,9,9,9,US $129.42,US $129.42,US $200.00,,,,,,,9,9,9,US $146.56,US $146.56,US $250.00
487-1,,,,,,,7,7,7,US $201.38,US $201.38,US $278.00,,,,,,,13,14,13,US $229.95,US $227.09,US $350.00
493-1,,,,,,,2,2,2,US $427.77,US $427.77,US $550.54,,,,,,,2,2,2,US $270.00,US $270.00,US $329.99
528-1,,,,,,,,,,,,,1,1,1,US $27.11,US $27.11,US $27.11,1,1,1,US $8.86,US $8.86,US $8.86
529-1,,,,,,,,,,,,,,,,,,,,,,,,
534-1,,,,,,,2,2,2,US $4.88,US $4.88,US $6.53,,,,,,,7,9,7,US $5.28,US $6.15,US $9.18
554-1,,,,,,,5,5,5,US $41.96,US $41.96,US $60.00,3,3,3,US $453.66,US $453.66,US $700.00,6,6,6,US $37.94,US $37.94,US $93.97
575-1,,,,,,,1,1,1,US $249.99,US $249.99,US $249.99,,,,,,,7,7,7,US $147.12,US $147.12,US $220.00
575-2,,,,,,,,,,,,,1,1,1,"US $3,668.16","US $3,668.16","US $3,668.16",1,1,1,US $129.04,US $129.04,US $129.04
590-1,,,,,,,2,2,2,US $157.50,US $157.50,US $165.00,1,1,1,"US $1,209.00","US $1,209.00","US $1,209.00",5,5,5,US $145.00,US $145.00,US $250.00
600-2,,,,,,,11,11,11,US $9.16,US $9.16,US $21.63,3,3,3,"US $1,599.51","US $1,599.51","US $2,168.82",5,7,5,US $65.15,US $50.36,US $271.09
601-1,1,1,1,US $76.36,US $76.36,US $76.36,2,2,2,US $6.21,US $6.21,US $6.80,,,,,,,5,5,5,US $29.44,US $29.44,US $65.05
602-1,,,,,,,7,7,7,US $12.18,US $12.18,US $58.50,3,3,3,US $152.41,US $152.41,US $186.12,12,12,12,US $7.62,US $7.62,US $15.75
603-1,1,1,1,US $170.20,US $170.20,US $170.20,2,2,2,US $18.01,US $18.01,US $30.09,2,2,2,US $466.88,US $466.88,US $500.00,9,9,9,US $5.32,US $5.32,US $8.68
604-1,,,,,,,6,6,6,US $10.44,US $10.44,US $24.95,1,1,1,US $86.75,US $86.75,US $86.75,15,15,15,US $13.70,US $13.70,US $60.00
605-1,,,,,,,3,3,3,US $8.85,US $8.85,US $10.86,2,2,2,US $214.06,US $214.06,US $298.00,10,11,10,US $12.92,US $12.09,US $54.11
606-1,,,,,,,4,4,4,US $4.56,US $4.56,US $5.37,1,1,1,US $249.41,US $249.41,US $249.41,10,10,10,US $7.45,US $7.45,US $17.72
620-1,,,,,,,3,3,3,US $11.99,US $11.99,US $23.00,,,,,,,8,8,8,US $10.91,US $10.91,US $37.85
621-1,,,,,,,7,7,7,US $16.70,US $16.70,US $69.99,,,,,,,5,5,5,US $6.88,US $6.88,US $10.00
628-2,,,,,,,,,,,,,,,,,,,,,,,,
640-2,1,1,1,US $347.67,US $347.67,US $347.67,6,6,6,US $14.92,US $14.92,US $21.77,,,,,,,5,7,5,US $11.49,US $10.22,US $14.63
641-1,,,,,,,4,4,4,US $43.60,US $43.60,US $151.88,,,,,,,8,8,8,US $9.89,US $9.89,US $15.49
642-1,1,1,1,US $106.37,US $106.37,US $106.37,6,6,6,US $7.86,US $7.86,US $25.00,,,,,,,12,12,12,US $8.20,US $8.20,US $18.99
643-1,,,,,,,4,4,4,US $60.47,US $60.47,US $107.68,,,,,,,14,14,14,US $40.61,US $40.61,US $134.32
644-2,,,,,,,8,8,8,US $7.69,US $7.69,US $26.83,,,,,,,8,9,8,US $10.25,US $10.01,US $27.11
670-1,,,,,,,1,1,1,US $19.16,US $19.16,US $19.16,,,,,,,8,8,8,US $13.97,US $13.97,US $24.93
671-1,,,,,,,8,8,8,US $10.90,US $10.90,US $26.92,,,,,,,15,19,15,US $18.00,US $15.34,US $44.00
672-1,,,,,,,4,4,4,US $32.88,US $32.88,US $69.99,,,,,,,8,8,8,US $26.07,US $26.07,US $48.79
673-1,,,,,,,3,3,3,US $8.20,US $8.20,US $10.92,1,1,1,US $108.44,US $108.44,US $108.44,8,8,8,US $8.89,US $8.89,US $19.99
674-1,,,,,,,,,,,,,,,,,,,8,8,8,US $22.03,US $22.03,US $53.14
709-1,,,,,,,1,1,1,US $30.93,US $30.93,US $30.93,1,1,1,US $215.80,US $215.80,US $215.80,11,11,11,US $36.46,US $36.46,US $85.00
745-1,,,,,,,1,1,1,US $5.78,US $5.78,US $5.78,,,,,,,1,21,1,US $15.00,US $15.00,US $15.00
746-1,,,,,,,,,,,,,,,,,,,,,,,,
747-1,,,,,,,,,,,,,,,,,,,,,,,,
775-1,,,,,,,,,,,,,1,1,1,US $397.90,US $397.90,US $397.90,5,5,5,US $171.02,US $171.02,US $250.00
854-1,,,,,,,12,12,12,US $13.31,US $13.31,US $25.48,1,1,1,US $400.00,US $400.00,US $400.00,41,42,41,US $35.81,US $35.47,US $78.08
855-1,,,,,,,5,5,5,US $62.33,US $62.33,US $69.89,,,,,,,19,19,19,US $85.39,US $85.39,US $120.00
872-1,,,,,,,5,5,5,US $20.78,US $20.78,US $30.06,5,5,5,US $37.65,US $37.65,US $50.00,9,11,9,US $25.57,US $26.21,US $35.82
948-1,,,,,,,2,2,2,US $47.48,US $47.48,US $55.00,1,1,1,US $197.90,US $197.90,US $197.90,6,6,6,US $59.89,US $59.89,US $85.00
952-1,,,,,,,3,3,3,US $98.24,US $98.24,US $140.00,1,1,1,US $439.90,US $439.90,US $439.90,4,4,4,US $156.62,US $156.62,US $205.50
954-1,,,,,,,,,,,,,,,,,,,1,1,1,US $99.99,US $99.99,US $99.99
956-1,,,,,,,,,,,,,,,,,,,,,,,,
960-1,,,,,,,3,3,3,US $27.54,US $27.54,US $36.75,,,,,,,7,8,7,US $51.14,US $50.88,US $69.95
961-1,,,,,,,2,2,2,US $16.64,US $16.64,US $17.13,3,3,3,US $146.66,US $146.66,US $190.00,1,1,1,US $62.99,US $62.99,US $62.99
970-1,,,,,,,3,3,3,US $14.31,US $14.31,US $19.39,7,9,7,US $43.02,US $41.02,US $63.00,30,36,30,US $19.32,US $20.32,US $45.00
1117-1,1,1,1,US $8.64,US $8.64,US $8.64,,,,,,,4,6,4,US $8.85,US $8.84,US $9.76,,,,,,
1175-1,,,,,,,,,,,,,5,6,5,US $9.46,US $9.74,US $11.17,1,1,1,US $6.00,US $6.00,US $6.00
1176-1,,,,,,,,,,,,,2,2,2,US $3.20,US $3.20,US $3.20,,,,,,
1555-2,,,,,,,,,,,,,1,1,1,"US $2,168.82","US $2,168.82","US $2,168.82",,,,,,
1589-1,,,,,,,,,,,,,,,,,,,7,7,7,US $249.27,US $249.27,US $355.00
1610-2,,,,,,,1,1,1,US $8.76,US $8.76,US $8.76,,,,,,,2,2,2,US $9.73,US $9.73,US $16.21
1611-2,,,,,,,,,,,,,,,,,,,4,4,4,US $22.35,US $22.35,US $32.48
1620-2,,,,,,,2,2,2,US $133.14,US $133.14,US $196.87,,,,,,,10,10,10,US $152.08,US $152.08,US $325.32
7000-2,,,,,,,,,,,,,,,,,,,,,,,,
0011-3,,,,,,,,,,,,,,,,,,,,,,,,
303-1,,,,,,,,,,,,,,,,,,,,,,,,
307-1,,,,,,,,,,,,,,,,,,,2,2,2,US $7.52,US $7.52,US $13.58
317-2,,,,,,,,,,,,,,,,,,,,,,,,
327-1,,,,,,,,,,,,,,,,,,,1,1,1,US $13.00,US $13.00,US $13.00
337-1,,,,,,,,,,,,,,,,,,,,,,,,
347-2,,,,,,,,,,,,,1,1,1,US $69.99,US $69.99,US $69.99,1,1,1,US $27.06,US $27.06,US $27.06
356-2,,,,,,,,,,,,,,,,,,,,,,,,
357-2,,,,,,,,,,,,,,,,,,,,,,,,
503-1,,,,,,,,,,,,,1,3,1,US $13.01,US $13.01,US $13.01,2,2,2,US $13.77,US $13.77,US $17.55
507-1,,,,,,,,,,,,,,,,,,,,,,,,
517-2,,,,,,,,,,,,,,,,,,,,,,,,
527-1,,,,,,,,,,,,,,,,,,,2,2,2,US $22.19,US $22.19,US $22.37
537-1,,,,,,,1,1,1,US $30.19,US $30.19,US $30.19,2,2,2,US $135.00,US $135.00,US $149.99,2,2,2,US $33.31,US $33.31,US $34.61
547-1,,,,,,,,,,,,,,,,,,,3,3,3,US $82.14,US $82.14,US $100.00
557-1,,,,,,,,,,,,,1,1,1,US $329.99,US $329.99,US $329.99,1,1,1,US $100.00,US $100.00,US $100.00
610-2,,,,,,,,,,,,,1,1,1,"US $2,999.99","US $2,999.99","US $2,999.99",1,1,1,US $48.80,US $48.80,US $48.80
789-1,1,1,1,US $45.38,US $45.38,US $45.38,,,,,,,1,1,1,US $44.81,US $44.81,US $44.81,1,1,1,US $45.00,US $45.00,US $45.00
1078-1,,,,,,,,,,,,,,,,,,,3,3,3,US $112.23,US $112.23,US $220.11
1079-1,,,,,,,,,,,,,1,1,1,US $183.81,US $183.81,US $183.81,1,1,1,US $16.27,US $16.27,US $16.27
1346-1,,,,,,,,,,,,,,,,,,,,,,,,
1467-1,,,,,,,2,2,2,US $13.68,US $13.68,US $20.00,4,5,4,US $75.51,US $74.95,US $100.00,13,15,13,US $14.74,US $14.71,US $21.80
1468-1,,,,,,,2,2,2,US $14.37,US $14.37,US $16.15,,,,,,,3,3,3,US $18.37,US $18.37,US $27.11
1469-1,,,,,,,1,1,1,US $7.25,US $7.25,US $7.25,3,9,3,US $49.91,US $48.94,US $50.88,13,19,13,US $7.92,US $7.11,US $13.81
1470-1,,,,,,,2,2,2,US $25.62,US $25.62,US $29.16,1,1,1,US $200.00,US $200.00,US $200.00,1,1,1,US $14.54,US $14.54,US $14.54
1472-1,,,,,,,,,,,,,,,,,,,5,6,5,US $164.36,US $164.98,US $379.54
1484-1,1,1,1,US $489.05,US $489.05,US $489.05,4,4,4,US $156.18,US $156.18,US $269.39,,,,,,,8,8,8,US $146.44,US $146.44,US $201.26
1496-1,,,,,,,5,5,5,US $27.43,US $27.43,US $37.00,,,,,,,11,11,11,US $25.98,US $25.98,US $38.06
1509-1,,,,,,,,,,,,,2,2,2,US $791.25,US $791.25,US $799.00,,,,,,
1510-1,,,,,,,,,,,,,,,,,,,,,,,,
1516-1,,,,,,,,,,,,,,,,,,,,,,,,
1573-1,,,,,,,,,,,,,1,1,1,US $89.62,US $89.62,US $89.62,,,,,,
1575-2,,,,,,,,,,,,,,,,,,,1,1,1,US $108.44,US $108.44,US $108.44
1585-1,,,,,,,,,,,,,,,,,,,,,,,,
1586-1,1,1,1,US $79.99,US $79.99,US $79.99,,,,,,,1,1,1,US $71.08,US $71.08,US $71.08,1,1,1,US $21.69,US $21.69,US $21.69
1587-1,,,,,,,,,,,,,,,,,,,,,,,,
1588-1,2,3,2,US $6.75,US $6.90,US $7.20,,,,,,,3,3,3,US $16.00,US $16.00,US $20.00,1,1,1,US $6.33,US $6.33,US $6.33
1598-1,,,,,,,,,,,,,,,,,,,,,,,,
1599-1,,,,,,,,,,,,,,,,,,,4,4,4,US $15.43,US $15.43,US $22.15
1602-1,,,,,,,,,,,,,,,,,,,,,,,,
1603-1,1,1,1,US $3.68,US $3.68,US $3.68,,,,,,,6,10,6,US $7.77,US $7.64,US $12.55,,,,,,
1604-1,1,1,1,US $22.57,US $22.57,US $22.57,,,,,,,,,,,,,,,,,,
1605-1,2,2,2,US $12.42,US $12.42,US $19.83,,,,,,,8,246,8,US $9.57,US $5.07,US $19.53,,,,,,
1606-1,,,,,,,1,1,1,US $3.00,US $3.00,US $3.00,3,9,3,US $11.03,US $9.55,US $14.00,7,8,7,US $2.60,US $2.65,US $3.00
1607-1,,,,,,,,,,,,,4,7,4,US $12.57,US $10.45,US $16.65,12,14,12,US $3.28,US $3.24,US $6.66
1608-1,,,,,,,,,,,,,,,,,,,,,,,,
1609-1,,,,,,,,,,,,,,,,,,,1,4,1,US $4.34,US $4.34,US $4.34
1613-1,,,,,,,1,1,1,US $32.66,US $32.66,US $32.66,,,,,,,1,1,1,US $23.26,US $23.26,US $23.26
1615-1,,,,,,,,,,,,,1,1,1,US $74.99,US $74.99,US $74.99,,,,,,
1685-1,,,,,,,,,,,,,,,,,,,,,,,,
2020-1,,,,,,,,,,,,,,,,,,,,,,,,
2070-1,,,,,,,,,,,,,1,1,1,US $103.02,US $103.02,US $103.02,,,,,,
2072-1,,,,,,,1,1,1,US $13.90,US $13.90,US $13.90,,,,,,,4,4,4,US $23.63,US $23.63,US $33.31
2310-1,,,,,,,,,,,,,,,,,,,,,,,,
2312-1,,,,,,,,,,,,,,,,,,,,,,,,
2333-1,,,,,,,,,,,,,,,,,,,1,1,1,US $21.63,US $21.63,US $21.63
2344-1,,,,,,,,,,,,,,,,,,,1,3,1,US $9.15,US $9.15,US $9.15
2366-1,,,,,,,,,,,,,,,,,,,2,2,2,US $5.88,US $5.88,US $6.33
2377-1,,,,,,,,,,,,,,,,,,,2,2,2,US $12.99,US $12.99,US $13.99
2385-1,,,,,,,,,,,,,,,,,,,,,,,,
2388-1,,,,,,,,,,,,,,,,,,,2,2,2,US $14.13,US $14.13,US $16.27
2399-1,,,,,,,,,,,,,,,,,,,2,2,2,US $23.39,US $23.39,US $24.78
2404-1,,,,,,,,,,,,,3,3,3,US $19.57,US $19.57,US $27.11,,,,,,
2628-1,,,,,,,,,,,,,,,,,,,9,12,9,US $11.47,US $12.43,US $25.32
2632-1,,,,,,,,,,,,,,,,,,,4,4,4,US $15.59,US $15.59,US $19.52
2637-1,,,,,,,,,,,,,,,,,,,5,7,5,US $16.40,US $15.46,US $21.69
2638-1,,,,,,,,,,,,,,,,,,,3,3,3,US $41.58,US $41.58,US $48.80
2714-1,1,1,1,US $9.04,US $9.04,US $9.04,,,,,,,2,44,2,US $8.96,US $8.96,US $8.96,1,1,1,US $18.99,US $18.99,US $18.99
3636-1,,,,,,,1,1,1,US $17.13,US $17.13,US $17.13,2,2,2,US $214.17,US $214.17,US $216.88,11,13,11,US $17.51,US $17.73,US $24.94
3645-1,,,,,,,2,2,2,US $18.01,US $18.01,US $21.48,2,2,2,US $357.22,US $357.22,US $542.21,10,10,10,US $32.62,US $32.62,US $81.33
3659-1,,,,,,,1,1,1,US $21.73,US $21.73,US $21.73,,,,,,,10,13,10,US $29.22,US $28.07,US $75.18
3662-1,,,,,,,3,3,3,US $31.82,US $31.82,US $35.09,,,,,,,14,16,14,US $46.42,US $45.84,US $55.63
3674-1,,,,,,,2,2,2,US $45.90,US $45.90,US $48.80,1,1,1,US $542.15,US $542.15,US $542.15,8,8,8,US $52.11,US $52.11,US $61.00
3675-1,,,,,,,2,2,2,US $70.35,US $70.35,US $97.32,,,,,,,12,16,12,US $93.28,US $75.44,US $162.66
3682-1,,,,,,,1,1,1,US $142.24,US $142.24,US $142.24,1,1,1,"US $1,897.72","US $1,897.72","US $1,897.72",11,11,11,US $107.92,US $107.92,US $151.82
3719-1,,,,,,,3,3,3,US $8.56,US $8.56,US $10.65,1,1,1,US $130.13,US $130.13,US $130.13,15,20,15,US $10.06,US $10.19,US $16.27
3797-1,1,1,1,US $119.95,US $119.95,US $119.95,2,2,2,US $4.13,US $4.13,US $6.37,,,,,,,13,26,13,US $8.91,US $8.56,US $18.42
4010-1,,,,,,,6,6,6,US $23.10,US $23.10,US $35.64,5,5,5,US $604.44,US $604.44,"US $1,000.00",54,57,54,US $39.59,US $39.13,US $200.00
4020-1,1,1,1,US $245.00,US $245.00,US $245.00,7,7,7,US $71.80,US $71.80,US $110.18,1,1,1,US $275.00,US $275.00,US $275.00,17,17,17,US $73.43,US $73.43,US $146.73
4030-1,1,1,1,US $361.25,US $361.25,US $361.25,9,9,9,US $164.03,US $164.03,US $274.76,1,1,1,"US $1,500.00","US $1,500.00","US $1,500.00",11,11,11,US $147.61,US $147.61,US $189.77
5000-1,1,2,1,US $17.00,US $17.00,US $17.00,,,,,,,2,2,2,US $33.35,US $33.35,US $41.21,,,,,,
5001-1,1,1,1,US $3.15,US $3.15,US $3.15,,,,,,,6,12,6,US $4.50,US $4.19,US $6.27,,,,,,
5002-1,1,1,1,US $3.59,US $3.59,US $3.59,,,,,,,5,8,5,US $2.48,US $2.83,US $3.40,,,,,,
5003-1,1,1,1,US $8.61,US $8.61,US $8.61,,,,,,,12,26,12,US $8.54,US $8.86,US $10.84,,,,,,
5004-1,,,,,,,,,,,,,1,5,1,US $8.50,US $8.50,US $8.50,,,,,,
